Dấu thời gian,Câu 01 : Anh/chị làm việc và sinh sống ở đâu?,Giới tính,Độ tuổi,Trình độ học vấn,Chức vụ,Lĩnh vực làm việc,Câu 1: Hệ thống tuyển chọn khoa học và khắt khe,Câu 2: Kiểm tra tính hợp lệ và tiêu chuẩn hóa là cần thiết trong quá trình lựa chọn,"Câu 3: Tuyển chọn nhân viên có kiến thức, kĩ năng và thái độ",Câu 4: Các nhu cầu đào tạo được xác định thông qua một cơ chế đánh giá hiệu suất chính thức,Câu 5: Kiến thức mới và kĩ năng được truyền đạt cho tôi để làm việc theo nhóm,Câu 6: Có các chương trình đào tạo chính thức để dạy cho Nhân viên mới những kỹ năng cần thiết để họ thực hiện công việc của mình,Câu 7: Tham dự các chương trình đào tạo hàng năm,"Câu 8: Các nhu cầu đào tạo được xác định là thực tế, hữu ích và dựa trên chiến lược kinh doanh",Câu 9: Hệ thống đánh giá có ảnh hưởng mạnh mẽ đến hành vi của tôi và hành vi của nhóm,Câu 10 : Có hệ thống đánh giá hiệu suất bằng văn bản và hệ thống đánh giá hiệu quả hoạt động,Câu 11: Hệ thống đánh giá dựa trên định hướng tăng trưởng và phát triển,Câu 12 : Đánh giá Hiệu suất công việc được  Giám sát của tôi xem như là một nhiệm vụ quan trọng,Câu 13: Hiệu suất của tôi được đo lường trên cơ sở các kết quả khách quan và có thể định lượng được,Câu 14: Lương thưởng được quyết định trên cơ sở năng lực hoặc khả năng của người lao động,Câu 15: Tiền lương phản ánh mức sống,Câu 16: Mức lương so với thị trường,Câu 17: Hiệu quả công việc là một yếu tố quan trọng trong việc xác định Chế độ đãi ngộ và lương bổng của nhân viên,Câu 1: Người Giám sát của tôi dành nhiều thời gian để xây dựng mối quan hệ chất lượng với nhân viên,Câu 2: Người giám sát của tôi tạo ra một ý thức cộng đồng giữa các nhân viên,Câu 3: Người giám sát của tôi ưu tiên phát triển cá nhân của nhân viên,Câu 4: Người giám sát của tôi cân bằng mối quan tâm về các chi tiết hằng ngày với Dự đoán trong tương lai,Câu 5: Người giám sát của tôi làm việc chăm chỉ để tìm cách giúp người khác trở nên tốt nhất có thể.,"Câu 1: Trong công việc của tôi, tôi cảm thấy mạnh mẽ và đầy sức sống.","Câu 2: Khi tôi thức dậy vào buổi sáng, tôi cảm thấy muốn đi làm","Câu 3: Trong công việc của mình, tôi rất kiên cường, có tinh thần","Câu 4: Trong công việc, tôi luôn kiên trì, ngay cả khi mọi việc không suôn sẻ",Câu 5: Tôi thấy công việc mà tôi làm có đầy đủ ý nghĩa và mục đích,Câu 6: Công việc của tôi truyền cảm hứng cho tôi,Câu 7: Tôi tự hào về công việc mà tôi làm,"Câu 8: Đối với tôi, công việc của tôi là một thử thách","Câu 9: Khi tôi đang làm việc, tôi quên mọi thứ xung quanh mình",Câu 10: Tôi đang đắm chìm trong công việc của mình,Câu 11: Tôi cảm thấy hạnh phúc khi được làm việc hăng say,Câu 12: Thật khó để tách mình ra khỏi công việc của tôi,Câu 1: Tôi có thể sẽ ở lại Tổ chức này trong năm năm tới,Câu 2: Tôi sẽ không thay Tổ chức này một cách dễ dàng,"Câu 3: Đối với tôi, tổ chức này là tổ chức tốt nhất có thể để làm việc","Câu 4: Nếu tùy thuộc vào tôi, tôi chắc chắn sẽ làm việc cho công ty này trong năm năm tới.","Câu 5: Nếu tôi có thể bắt đầu lại từ đầu, tôi sẽ chọn làm việc cho một công ty khác","Câu 6: Nếu tôi nhận được một lời mời làm việc hấp dẫn từ một công ty khác, tôi sẽ nhận việc",Câu 7: Công việc tôi đang làm rất quan trọng đối với tôi,Câu 8: Tôi thích làm việc cho công ty này,Câu 1: Tôi muốn giới thiệu công ty này cho gia đình và bạn bè của tôi như một nơi tuyệt vời để làm việc.,Câu 2: Tôi được khuyến khích đóng góp để cải thiện cách thức hoàn thành công việc của tôi,Câu 3: Tôi biết mình phải làm gì để phát triển một cách chuyên nghiệp trong công ty này.,Câu 4: Tôi tin rằng làm việc trong công ty này sẽ mang lại cho tôi cơ hội để phát triển sự nghiệp của mình,Câu 5: Tôi cảm thấy rằng công việc của tôi là quan trọng cho sự thành công của Công ty,Câu 6: Tôi nghĩ rằng làm việc trong công ty này làm cho cuộc sống của tôi tốt hơn
2021/12/19 4:50:30 CH GMT+7,Tại Thành Phố Hồ Chí Minh (Tiếp tục khảo sát),Nữ,28–37,Đại học,Trợ lý ( Manager Assistant),Nhóm ngành Kinh doanh,4,4,5,5,3,3,4,4,4,4,4,4,4,5,2,2,4,5,5,5,5,5,4,4,5,5,5,4,4,5,3,4,3,3,3,1,2,5,3,3,4,3,4,3,4,3,4,3
2021/12/19 4:58:36 CH GMT+7,Tại Thành Phố Hồ Chí Minh (Tiếp tục khảo sát),Nam,38–47,Sau đại học,Quản lý (Manager),Nhóm ngành Luật,5,4,5,3,5,5,5,5,5,5,4,4,4,5,3,2,5,4,5,4,5,4,1,1,5,5,5,5,5,4,4,5,5,5,5,5,5,4,5,5,5,3,5,5,4,4,5,5
2021/12/19 5:12:33 CH GMT+7,Tại Thành Phố Hồ Chí Minh (Tiếp tục khảo sát),Nam,18–27,Đại học,Quản lý (Manager),Nhóm ngành Kinh doanh,3,4,4,5,5,4,4,5,4,5,4,4,4,5,3,4,4,5,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,3
2021/12/19 5:16:33 CH GMT+7,Tại Thành Phố Hồ Chí Minh (Tiếp tục khảo sát),Nam,28–37,Đại học,Trợ lý ( Manager Assistant),Nhóm ngành Kinh doanh,4,4,3,3,3,3,4,4,4,5,4,4,5,4,1,4,3,4,3,4,4,4,3,4,3,4,4,4,4,3,2,3,4,3,3,3,4,3,4,4,4,4,5,4,4,4,4,4
2021/12/19 5:39:44 CH GMT+7,Tại Thành Phố Hồ Chí Minh (Tiếp tục khảo sát),Nam,18–27,Đại học,Nhân viên,Nhóm ngành Công nghệ thông tin,3,5,3,5,4,5,2,4,5,5,4,5,3,5,3,3,5,4,3,4,2,3,4,3,5,5,2,3,3,5,5,5,5,5,5,5,3,3,2,5,4,5,1,5,5,4,3,3
2021/12/19 7:40:46 CH GMT+7,Tại Thành Phố Hồ Chí Minh (Tiếp tục khảo sát),Nam,18–27,Đại học,Khác,Nhóm ngành Công nghệ thông tin,3,4,4,3,4,2,1,4,5,3,2,5,2,5,5,1,4,3,4,2,4,2,3,3,2,2,2,4,4,2,5,5,4,5,3,2,4,2,4,2,5,2,5,1,4,2,2,3
2021/12/20 3:13:43 SA GMT+7,Tại Thành Phố Hồ Chí Minh (Tiếp tục khảo sát),Nữ,18–27,Đại học,Khác,Nhóm ngành Công nghệ thông tin,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,1,2,4,3,3,5,2,1,4,4,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2021/12/20 9:31:27 SA GMT+7,Tại Thành Phố Hồ Chí Minh (Tiếp tục khảo sát),Nam,28–37,Đại học,Quản lý (Manager),Nhóm ngành Công nghệ thông tin,4,4,5,3,4,4,4,4,5,5,4,4,4,5,5,5,5,3,3,3,3,4,4,3,4,4,4,4,4,3,4,4,4,4,3,4,4,4,3,4,3,4,4,4,4,3,4,3
2021/12/20 3:19:29 CH GMT+7,Tại Thành Phố Hồ Chí Minh (Tiếp tục khảo sát),Nam,28–37,Đại học,Trợ lý ( Manager Assistant),Nhóm ngành Nhân sự,3,4,4,5,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,3,4,4,4,4,3,4,4,4,3,4,4,4,4,3,4,3,3,4,3,3,4,4,4,4,4,4,4,3
2021/12/20 10:00:11 CH GMT+7,Tại Thành Phố Hồ Chí Minh (Tiếp tục khảo sát),Nữ,18–27,Đại học,Nhân viên,Nhóm ngành Công nghệ thông tin,4,4,5,5,5,5,4,5,5,4,5,4,4,5,3,4,4,4,5,3,4,4,5,4,5,5,5,5,5,4,3,4,4,3,2,4,4,2,2,3,4,4,4,4,4,5,4,5
2021/12/20 10:03:17 CH GMT+7,Tại Thành Phố Hồ Chí Minh (Tiếp tục khảo sát),Nữ,18–27,Đại học,Nhân viên,Nhóm ngành Ngân hàng,4,4,5,3,4,5,3,4,4,4,4,4,4,4,5,5,5,3,3,1,2,2,3,3,3,4,4,3,4,4,3,3,3,3,3,3,3,3,3,4,3,3,2,3,3,3,3,3
